header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reverse ,delay,P ,I ,D ,Gain
AA,55,57,3,0,0,0,0,40,0,40,2,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,1,2,2400,2400,2,40,2,40,3,2,40,40,80000,210900,180000,,,,24,0,6,3,10,20,0,2,1,60000,0,0,0,0,1,0,0,0
AA,55,57,1,2,2400,2400,2,40,2,40,3,2,40,40,80000,210900,180000,,,,24,0,6,3,10,20,0,2,1,58000,0,0,0,0,1,0,0,0
AA,55,57,1,2,1500,1500,2,40,2,40,3,2,40,40,80000,210900,180000,,,,24,0,6,3,10,20,0,2,1,55600,0,0,0,0,1,0,0,0
AA,55,57,1,2,0,0,2,40,2,40,2,2,40,40,80000,210900,180000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,7,0,180,180,0,40,0,40,2,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,2,3,97000,0,0,0,0,1,0,0,0
AA,55,57,3,0,0,0,0,40,0,40,2,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,1,1,3000,3000,2,40,2,40,1,2,40,40,54400,0,92000,,,,24,0,6,3,10,20,0,1,2,222500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,2,40,40,54400,0,92000,,,,24,0,6,3,10,20,0,1,2,225500,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,2,40,2,40,1,2,40,40,54400,0,-89000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,3,0,450,750,0,40,0,40,3,2,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,60000,0,0,0,0,1,0,0,0
AA,55,57,3,0,0,0,0,40,0,40,3,2,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,60000,0,0,0,1,1,0,0,0
AA,55,57,1,3,600,600,1,40,1,40,5,3,40,40,35680,0,45000,,,,4,0,6,6,10,20,0,1,1,55900,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,2,40,2,40,5,3,40,40,35680,0,45000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,8,0,180,180,0,40,0,40,4,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,3,70000,0,0,0,0,1,0,0,0
AA,55,57,8,0,180,180,0,40,0,40,4,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,3,83000,0,0,0,0,1,0,0,0
AA,55,57,4,0,0,0,0,40,0,40,4,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
